query,join_label,baseline_ms,perfect_ms,bitmap_ms,bitmap_join_status
Q3,"l_orderkey = o_orderkey [lineitem <-> orders+customer]",178.426,173.951,321.132,"yes"
Q3,"o_custkey = c_custkey [orders <-> customer]",65.119,38.0438,66.7683,"yes"
Q8,"l_suppkey = s_suppkey [lineitem+orders+customer+nation+region+part <-> supplier+nation]",4.6685,1.82034,0.660366,"yes"
Q8,"l_partkey = p_partkey [lineitem+orders+customer+nation+region <-> part]",4.01937,55.8411,98.2758,"yes"
Q8,"l_orderkey = o_orderkey [lineitem <-> orders+customer+nation+region]",105.48,184.917,212.379,"yes"
Q8,"o_custkey = c_custkey [orders <-> customer+nation+region]",52.6422,29.3673,43.0457,"yes"
Q8,"c_nationkey = n_nationkey [customer <-> nation+region]",3.27452,4.91444,4.45055,"yes"
Q8,"n_regionkey = r_regionkey [nation <-> region]",0.105099,0.114022,0.026422,"yes"
Q8,"s_nationkey = n_nationkey [supplier <-> nation]",0.856673,0.296413,0.119527,"yes"
Q11,"s_nationkey = n_nationkey [supplier <-> nation]",0.233479,0.078104,0.381071,"yes"
Q11,"ps_suppkey = s_suppkey [partsupp <-> ?]",42.5944,14.0253,43.8632,"no (trace_to_get_failed)"
Q11,"ps_suppkey = s_suppkey [partsupp <-> ?]",40.7025,12.7052,42.1177,"no (trace_to_get_failed)"
Q16,"ps_suppkey = #0 [partsupp+part+? <-> supplier]",8.2553,11.0693,11.7153,"no (not_inner_or_right_semi)"
Q16,"ps_partkey = p_partkey [partsupp <-> part+?]",46.3229,29.4434,153.589,"yes"
Q16,"p_size = #0 [part <-> ?]",11.27,11.1665,11.4354,"no (not_inner_or_right_semi)"
