query,mode,hash_join_count,bhj_hits,rows_out,cold_ms,warm_avg_ms,warm_min_ms,warm_max_ms
Q3,baseline,2,0,10,210.101,183.873,175.15,189.308
Q3,perfect,2,0,10,182.296,164.592,160.339,170.082
Q3,bitmap,2,2,10,145.752,145.424,144.062,147.133
Q8,baseline,7,0,2,186.645,186.827,185.085,187.873
Q8,perfect,7,0,2,198.239,194.029,193.091,194.821
Q8,bitmap,7,7,2,165.445,167.769,166.903,168.363
Q11,baseline,3,0,0,41.3058,34.9012,34.4027,35.2659
Q11,perfect,3,0,0,30.5754,30.6194,30.5508,30.7555
Q11,bitmap,3,1,0,34.6643,34.5134,34.1324,34.7458
Q16,baseline,3,0,27724,60.2625,58.0655,57.2491,58.7581
Q16,perfect,3,0,27724,69.5148,80.5028,67.5204,87.0608
Q16,bitmap,3,1,27724,72.5369,66.5867,55.4284,76.025
