query,join_label,baseline_ms,perfect_ms,bitmap_ms,bitmap_join_status
Q5," [lineitem+orders+customer+nation+region <-> supplier]",63.1695,61.6608,80.6641,"no (not_single_equality)"
Q5,"l_orderkey = o_orderkey [lineitem <-> orders+customer+nation+region]",145.592,151.004,1548.38,"yes"
Q5,"o_custkey = c_custkey [orders <-> customer+nation+region]",50.1784,30.6723,94.4933,"yes"
Q5,"c_nationkey = n_nationkey [customer <-> nation+region]",3.589,4.75508,4.82086,"yes"
Q5,"n_regionkey = r_regionkey [nation <-> region]",0.168189,0.162607,0.01618,"yes"
Q9," [lineitem+part+orders <-> partsupp+supplier+nation]",1010.61,1020.8,1043.85,"no (not_single_equality)"
Q9,"l_orderkey = o_orderkey [lineitem+part <-> orders]",1078.63,1087.11,113.493,"yes"
Q9,"l_partkey = p_partkey [lineitem <-> part]",175.901,137.873,139.744,"yes"
Q9,"ps_suppkey = s_suppkey [partsupp <-> supplier+nation]",127.306,12.0814,12.2677,"yes"
Q9,"s_nationkey = n_nationkey [supplier <-> nation]",0.846651,0.223363,0.149216,"yes"
Q10,"c_custkey = o_custkey [customer+nation <-> lineitem+orders]",104.034,102.39,91.7583,"no (fk_on_build_side)"
Q10,"c_nationkey = n_nationkey [customer <-> nation]",13.1618,12.992,1.43375,"yes"
Q10,"l_orderkey = o_orderkey [lineitem <-> orders]",227.968,226.933,143.697,"yes"
