query,join_label,baseline_ms,perfect_ms,bitmap_ms,bitmap_join_status
Q5," [lineitem+orders+customer+nation+region <-> supplier]",60.6378,61.0152,73.2146,"no (not_single_equality)"
Q5,"l_orderkey = o_orderkey [lineitem <-> orders+customer+nation+region]",141.382,147.59,1704.08,"yes"
Q5,"o_custkey = c_custkey [orders <-> customer+nation+region]",50.3598,32.5102,40.4864,"yes"
Q5,"c_nationkey = n_nationkey [customer <-> nation+region]",3.69491,4.74804,7.0355,"yes"
Q5,"n_regionkey = r_regionkey [nation <-> region]",0.129348,0.155578,0.019708,"yes"
Q9," [lineitem+part+orders <-> partsupp+supplier+nation]",1006.35,1030.08,981.689,"no (not_single_equality)"
Q9,"l_orderkey = o_orderkey [lineitem+part <-> orders]",1094.43,1087.59,170.786,"yes"
Q9,"l_partkey = p_partkey [lineitem <-> part]",170.977,130.692,347.521,"yes"
Q9,"ps_suppkey = s_suppkey [partsupp <-> supplier+nation]",125.553,12.3065,10.3059,"yes"
Q9,"s_nationkey = n_nationkey [supplier <-> nation]",0.842147,0.219109,0.126951,"yes"
Q10,"c_custkey = o_custkey [customer+nation <-> lineitem+orders]",106.861,109.074,95.6471,"no (fk_on_build_side)"
Q10,"c_nationkey = n_nationkey [customer <-> nation]",13.3679,13.2832,24.7761,"yes"
Q10,"l_orderkey = o_orderkey [lineitem <-> orders]",225.776,218.989,189.139,"yes"
