query,join_label,baseline_ms,perfect_ms,bitmap_ms,bitmap_join_status,bitmap_payload_mode
Q5," [lineitem+orders+customer+nation+region <-> supplier]",60.9822,61.6962,66.9663,"no (not_single_equality)","(none)"
Q5,"l_orderkey = o_orderkey [lineitem <-> orders+customer+nation+region]",147.327,145.663,272.298,"yes","compact"
Q5,"o_custkey = c_custkey [orders <-> customer+nation+region]",47.6983,31.7361,72.3787,"yes","dense"
Q5,"c_nationkey = n_nationkey [customer <-> nation+region]",3.78943,4.8169,8.19576,"yes","dense"
Q5,"n_regionkey = r_regionkey [nation <-> region]",0.153621,0.141714,0.017124,"yes","dense"
Q9," [lineitem+part+orders <-> partsupp+supplier+nation]",993.142,1042.24,971.017,"no (not_single_equality)","(none)"
Q9,"l_orderkey = o_orderkey [lineitem+part <-> orders]",1058.35,1054.62,176.774,"yes","dense"
Q9,"l_partkey = p_partkey [lineitem <-> part]",164.294,129.764,384.48,"yes","dense"
Q9,"ps_suppkey = s_suppkey [partsupp <-> supplier+nation]",123.955,12.9202,11.4812,"yes","dense"
Q9,"s_nationkey = n_nationkey [supplier <-> nation]",0.882164,0.233632,0.155731,"yes","dense"
Q10,"c_custkey = o_custkey [customer+nation <-> lineitem+orders]",110.006,108.049,99.4205,"no (fk_on_build_side)","(none)"
Q10,"c_nationkey = n_nationkey [customer <-> nation]",13.4977,13.3219,26.3512,"yes","dense"
Q10,"l_orderkey = o_orderkey [lineitem <-> orders]",220.266,216.482,197.044,"yes","dense"
