query,join_label,baseline_ms,perfect_ms,bitmap_ms,bitmap_join_status
Q5," [lineitem+orders+customer+nation+region <-> supplier]",61.9352,61.3305,80.5234,"no (not_single_equality)"
Q5,"l_orderkey = o_orderkey [lineitem <-> orders+customer+nation+region]",144.036,144.005,1524.23,"yes"
Q5,"o_custkey = c_custkey [orders <-> customer+nation+region]",51.5099,32.1521,105.873,"yes"
Q5,"c_nationkey = n_nationkey [customer <-> nation+region]",3.46666,4.71259,4.71694,"yes"
Q5,"n_regionkey = r_regionkey [nation <-> region]",0.198333,0.161556,0.017029,"yes"
Q9," [lineitem+part+orders <-> partsupp+supplier+nation]",992.561,1102.03,1099.03,"no (not_single_equality)"
Q9,"l_orderkey = o_orderkey [lineitem+part <-> orders]",1111.97,1121.96,104.31,"yes"
Q9,"l_partkey = p_partkey [lineitem <-> part]",176.498,141.24,140.094,"yes"
Q9,"ps_suppkey = s_suppkey [partsupp <-> supplier+nation]",126.56,13.0855,12.1067,"yes"
Q9,"s_nationkey = n_nationkey [supplier <-> nation]",0.88563,0.242714,0.150511,"yes"
Q10,"c_custkey = o_custkey [customer+nation <-> lineitem+orders]",154.567,341.412,162.152,"no (fk_on_build_side)"
Q10,"c_nationkey = n_nationkey [customer <-> nation]",13.0843,12.6623,1.51704,"yes"
Q10,"l_orderkey = o_orderkey [lineitem <-> orders]",265.624,473.903,145.136,"yes"
