query,join_label,baseline_ms,perfect_ms,bitmap_ms,bitmap_join_status,bitmap_payload_mode
Q5," [lineitem+orders+customer+nation+region <-> supplier]",62.3122,60.0604,66.2769,"no (not_single_equality)","(none)"
Q5,"l_orderkey = o_orderkey [lineitem <-> orders+customer+nation+region]",143.26,140.758,271.293,"yes","compact"
Q5,"o_custkey = c_custkey [orders <-> customer+nation+region]",50.1776,31.1885,83.2911,"yes","dense"
Q5,"c_nationkey = n_nationkey [customer <-> nation+region]",3.64768,4.72286,8.17448,"yes","dense"
Q5,"n_regionkey = r_regionkey [nation <-> region]",0.163212,0.144685,0.019286,"yes","dense"
Q9," [lineitem+part+orders <-> partsupp+supplier+nation]",999.2,1025.99,968.984,"no (not_single_equality)","(none)"
Q9,"l_orderkey = o_orderkey [lineitem+part <-> orders]",1033.69,1046.35,171.91,"yes","dense"
Q9,"l_partkey = p_partkey [lineitem <-> part]",169.52,129.129,384.101,"yes","dense"
Q9,"ps_suppkey = s_suppkey [partsupp <-> supplier+nation]",126.732,13.7116,11.8292,"yes","dense"
Q9,"s_nationkey = n_nationkey [supplier <-> nation]",0.862548,0.225014,0.150479,"yes","dense"
Q10,"c_custkey = o_custkey [customer+nation <-> lineitem+orders]",109.169,105.513,98.0808,"no (fk_on_build_side)","(none)"
Q10,"c_nationkey = n_nationkey [customer <-> nation]",12.8315,13.1208,25.8202,"yes","dense"
Q10,"l_orderkey = o_orderkey [lineitem <-> orders]",227.656,214.62,194.395,"yes","dense"
