query,join_label,baseline_ms,perfect_ms,bitmap_ms,bitmap_join_status
Q5," [lineitem+orders+customer+nation+region <-> supplier]",62.3166,62.1641,75.205,"no (not_single_equality)"
Q5,"l_orderkey = o_orderkey [lineitem <-> orders+customer+nation+region]",143.565,149.204,1764.13,"yes"
Q5,"o_custkey = c_custkey [orders <-> customer+nation+region]",48.9317,32.1781,101.383,"yes"
Q5,"c_nationkey = n_nationkey [customer <-> nation+region]",3.49263,4.74696,7.50825,"yes"
Q5,"n_regionkey = r_regionkey [nation <-> region]",0.150424,0.128166,0.018322,"yes"
Q9," [lineitem+part+orders <-> partsupp+supplier+nation]",992.405,1050.94,981.752,"no (not_single_equality)"
Q9,"l_orderkey = o_orderkey [lineitem+part <-> orders]",1063.07,1068.6,176.15,"yes"
Q9,"l_partkey = p_partkey [lineitem <-> part]",169.319,128.868,345.586,"yes"
Q9,"ps_suppkey = s_suppkey [partsupp <-> supplier+nation]",128.275,12.7488,11.032,"yes"
Q9,"s_nationkey = n_nationkey [supplier <-> nation]",0.850424,0.222498,0.140409,"yes"
Q10,"c_custkey = o_custkey [customer+nation <-> lineitem+orders]",110.349,115.419,99.5156,"no (fk_on_build_side)"
Q10,"c_nationkey = n_nationkey [customer <-> nation]",13.1451,13.3583,25.2738,"yes"
Q10,"l_orderkey = o_orderkey [lineitem <-> orders]",223.321,225.887,191.956,"yes"
