query,mode,hash_join_count,bhj_hits,rows_out,cold_ms,warm_avg_ms,warm_min_ms,warm_max_ms
Q1,baseline,0,0,4,302.228,218.342,215.151,224.616
Q1,perfect,0,0,4,212.073,231.015,212.439,254.873
Q1,bitmap,0,0,4,211.185,213.462,212.936,214.168
Q2,baseline,9,0,100,73.1804,68.0059,66.2567,71.427
Q2,perfect,9,0,100,95.5084,71.0614,62.9799,81.9441
Q2,bitmap,9,0,100,74.1828,73.2641,72.2235,74.2763
Q3,baseline,2,0,10,207.055,184.439,178.694,194.302
Q3,perfect,2,0,10,171.743,165.118,158.427,175.032
Q3,bitmap,2,2,10,165.183,164.216,160.792,166.982
Q4,baseline,2,0,5,112.368,129.454,116.437,139.367
Q4,perfect,2,0,5,131.084,129.593,117.749,136.585
Q4,bitmap,2,0,5,165.142,138.466,125.598,154.802
Q5,baseline,5,0,5,179.679,171.414,166.665,176.458
Q5,perfect,5,0,5,166.762,167.589,166.841,168.913
Q5,bitmap,5,4,5,168.289,169.159,166.589,173.224
Q6,baseline,0,0,1,72.2636,73.1259,72.9081,73.2629
Q6,perfect,0,0,1,72.0295,73.5253,72.4637,74.4445
Q6,bitmap,0,0,1,73.6639,73.4652,73.2253,73.6699
Q7,baseline,5,0,4,188.417,189.994,186.259,193.335
Q7,perfect,5,0,4,190.267,193.716,188.025,197.233
Q7,bitmap,5,4,4,196.47,204.964,197.977,214.505
Q8,baseline,7,0,2,205.482,199.814,197.949,200.945
Q8,perfect,7,0,2,200.629,208.639,204.804,211.44
Q8,bitmap,7,7,2,201.787,196.41,194.868,197.236
Q9,baseline,5,0,175,354.23,349.975,343.548,353.959
Q9,perfect,5,0,175,332.959,344.285,335.059,361.529
Q9,bitmap,5,4,175,316.775,295.535,292.23,301.888
Q10,baseline,3,0,20,212.674,232.253,226.783,241.831
Q10,perfect,3,0,20,234.061,233.128,226.616,236.676
Q10,bitmap,3,2,20,254.539,251.118,240.823,265.144
Q11,baseline,3,0,0,67.1092,48.0584,44.2938,50.4543
Q11,perfect,3,0,0,45.0392,39.6451,39.5056,39.7859
Q11,bitmap,3,1,0,43.1786,43.2067,42.7972,43.5757
Q12,baseline,1,0,2,101.386,100.9,99.0793,104.048
Q12,perfect,1,0,2,96.6366,104.016,99.5046,107.46
Q12,bitmap,1,0,2,102.983,107.477,102.031,115.664
Q13,baseline,1,0,43,255.247,269.346,249.445,281.224
Q13,perfect,1,0,43,267.011,251.48,247.347,258.476
Q13,bitmap,1,0,43,267.208,267.249,265.884,268.972
Q14,baseline,1,0,1,163.178,139.316,134.262,149.115
Q14,perfect,1,0,1,127.969,129.699,127.3,131.917
Q14,bitmap,1,1,1,180.082,137.974,132.361,141.946
Q15,baseline,2,0,1,109.36,110.796,110.406,111.52
Q15,perfect,2,0,1,111.953,109.029,108.442,109.998
Q15,bitmap,2,0,1,110.223,110.298,104.585,113.449
Q16,baseline,3,0,27724,62.3009,64.9492,63.7859,66.6162
Q16,perfect,3,0,27724,98.9009,101.47,97.1834,104.706
Q16,bitmap,3,1,27724,82.0069,81.1555,73.23,86.4565
Q17,baseline,3,0,1,224.017,182.009,176.294,188.202
Q17,perfect,3,0,1,168.505,164.254,162.765,165.368
Q17,bitmap,3,1,1,183.466,173.262,171.259,175.104
Q18,baseline,3,0,100,327.307,322.91,319.929,327.046
Q18,perfect,3,0,100,304.61,286.731,283.297,290.118
Q18,bitmap,3,1,100,314.212,298.701,288.961,309.622
Q19,baseline,1,0,1,162.22,168.986,166.374,173.012
Q19,perfect,1,0,1,176.551,171.061,170.229,172.022
Q19,bitmap,1,0,1,164.009,167.786,165.478,170.987
Q20,baseline,5,0,901,175.171,153.321,152.296,154.779
Q20,perfect,5,0,901,163.068,153.287,150.536,156.606
Q20,bitmap,5,1,901,147.218,149.028,145.544,155.34
Q21,baseline,7,0,100,468.661,459.755,455.402,463.583
Q21,perfect,7,0,100,550.653,525.313,520.775,527.772
Q21,bitmap,7,0,100,486.463,482.055,478.346,487.28
Q22,baseline,2,0,7,87.3025,123.499,112.595,131.469
Q22,perfect,2,0,7,92.0893,124.441,120.368,128.323
Q22,bitmap,2,0,7,153.913,138.985,136.404,140.66
