query,official_warmup_s,official_avg_s,official_min_s,official_max_s,bitmap_warmup_s,bitmap_avg_s,bitmap_min_s,bitmap_max_s,speedup_official_over_bitmap
Q01,0.5870,0.5893,0.5888,0.5896,0.6281,0.6256,0.6245,0.6261,0.942
Q02,0.1822,0.1768,0.1725,0.1812,0.1673,0.1750,0.1731,0.1776,1.011
Q03,0.4901,0.4922,0.4814,0.5044,0.4917,0.4948,0.4910,0.4989,0.995
Q04,0.3506,0.3435,0.3362,0.3489,0.3502,0.3511,0.3472,0.3536,0.978
Q05,0.5384,0.5227,0.5101,0.5400,0.5873,0.5845,0.5801,0.5895,0.894
Q06,0.2456,0.2439,0.2423,0.2451,0.2585,0.2503,0.2470,0.2561,0.974
Q07,0.5666,0.5680,0.5653,0.5713,0.5827,0.5873,0.5829,0.5906,0.967
Q08,0.6320,0.6617,0.6540,0.6665,0.6253,0.6292,0.6237,0.6376,1.052
Q09,1.1562,1.1563,1.1477,1.1627,1.0172,1.0125,1.0091,1.0151,1.142
Q10,0.6431,0.6458,0.6374,0.6555,0.6985,0.6912,0.6881,0.6972,0.934
Q11,0.1518,0.1533,0.1485,0.1570,0.1523,0.1515,0.1498,0.1535,1.012
Q12,0.3290,0.3314,0.3302,0.3321,0.3247,0.3263,0.3247,0.3292,1.015
Q13,0.9041,0.9124,0.9101,0.9167,0.9031,0.9243,0.9089,0.9424,0.987
Q14,0.4055,0.4043,0.4019,0.4073,0.3757,0.3731,0.3702,0.3766,1.084
Q15,0.3409,0.3393,0.3374,0.3428,0.3459,0.3490,0.3455,0.3529,0.972
Q16,0.2598,0.2607,0.2538,0.2709,0.2205,0.2223,0.2192,0.2247,1.173
Q17,0.4328,0.4346,0.4302,0.4376,0.4366,0.4340,0.4315,0.4356,1.001
Q18,0.8930,0.8912,0.8906,0.8922,0.9291,0.9311,0.9231,0.9426,0.957
Q19,0.5016,0.5097,0.5032,0.5148,0.5166,0.5225,0.5180,0.5281,0.976
Q20,0.4249,0.4224,0.4212,0.4234,0.4411,0.4358,0.4348,0.4370,0.969
Q21,1.4849,1.4794,1.4724,1.4900,1.3973,1.4110,1.4107,1.4114,1.049
Q22,0.1871,0.1828,0.1811,0.1845,0.1914,0.1868,0.1834,0.1889,0.979
