query,official_warmup_s,official_avg_s,official_min_s,official_max_s,bitmap_warmup_s,bitmap_avg_s,bitmap_min_s,bitmap_max_s,speedup_official_over_bitmap
Q01,0.2030,0.1808,0.1796,0.1815,0.2124,0.1895,0.1892,0.1899,0.954
Q02,0.0909,0.0697,0.0619,0.0763,0.0833,0.0709,0.0685,0.0729,0.983
Q03,0.1922,0.1804,0.1716,0.1856,0.1594,0.1543,0.1528,0.1562,1.169
Q04,0.1229,0.1289,0.1247,0.1335,0.1319,0.1295,0.1282,0.1313,0.995
Q05,0.1557,0.1557,0.1522,0.1614,0.2629,0.2592,0.2566,0.2609,0.601
Q06,0.0660,0.0655,0.0653,0.0657,0.0678,0.0662,0.0660,0.0664,0.989
Q07,0.1826,0.1835,0.1784,0.1882,0.2067,0.2105,0.2074,0.2128,0.872
Q08,0.2003,0.1985,0.1948,0.2033,0.1803,0.1774,0.1772,0.1776,1.119
Q09,0.3738,0.3511,0.3418,0.3581,0.3036,0.2984,0.2978,0.2991,1.177
Q10,0.2475,0.2402,0.2298,0.2455,0.2502,0.2452,0.2390,0.2518,0.980
Q11,0.0347,0.0325,0.0323,0.0327,0.0354,0.0338,0.0336,0.0340,0.963
Q12,0.0991,0.0974,0.0967,0.0981,0.0993,0.0982,0.0974,0.0987,0.992
Q13,0.2688,0.2698,0.2667,0.2745,0.2742,0.2721,0.2703,0.2735,0.991
Q14,0.1368,0.1498,0.1486,0.1512,0.1200,0.1184,0.1180,0.1193,1.265
Q15,0.0955,0.0953,0.0950,0.0957,0.1002,0.0990,0.0987,0.0994,0.962
Q16,0.0969,0.0760,0.0747,0.0773,0.0583,0.0566,0.0560,0.0570,1.342
Q17,0.1322,0.1310,0.1305,0.1313,0.1407,0.1384,0.1376,0.1391,0.947
Q18,0.2692,0.2749,0.2726,0.2771,0.2699,0.2692,0.2689,0.2694,1.021
Q19,0.1644,0.1624,0.1584,0.1653,0.1673,0.1668,0.1581,0.1742,0.974
Q20,0.1330,0.1302,0.1291,0.1320,0.1319,0.1330,0.1325,0.1333,0.979
Q21,0.5064,0.5103,0.5076,0.5126,0.4897,0.4875,0.4813,0.4916,1.047
Q22,0.0641,0.0628,0.0616,0.0636,0.0671,0.0649,0.0647,0.0652,0.968

  两端都有 22 条: official avg 总耗时 3.75s, bitmap avg 总耗时 3.74s
  整体加速比 (官方/bitmap): 1.002x
