query,official_warmup_s,official_avg_s,official_min_s,official_max_s,bitmap_warmup_s,bitmap_avg_s,bitmap_min_s,bitmap_max_s,speedup_official_over_bitmap
Q01,0.2030,0.1808,0.1796,0.1815,0.2176,0.1918,0.1908,0.1932,0.943
Q02,0.0909,0.0697,0.0619,0.0763,0.0829,0.0727,0.0721,0.0738,0.958
Q03,0.1922,0.1804,0.1716,0.1856,0.1553,0.1539,0.1492,0.1584,1.172
Q04,0.1229,0.1289,0.1247,0.1335,0.1347,0.1313,0.1298,0.1337,0.982
Q05,0.1557,0.1557,0.1522,0.1614,0.1543,0.1555,0.1549,0.1558,1.002
Q06,0.0660,0.0655,0.0653,0.0657,0.0669,0.0664,0.0663,0.0665,0.986
Q07,0.1826,0.1835,0.1784,0.1882,0.2105,0.2064,0.2037,0.2091,0.889
Q08,0.2003,0.1985,0.1948,0.2033,0.1821,0.1862,0.1822,0.1892,1.066
Q09,0.3738,0.3511,0.3418,0.3581,0.3194,0.3018,0.2984,0.3073,1.163
Q10,0.2475,0.2402,0.2298,0.2455,0.2591,0.2506,0.2445,0.2540,0.958
Q11,0.0347,0.0325,0.0323,0.0327,0.0348,0.0338,0.0337,0.0340,0.961
Q12,0.0991,0.0974,0.0967,0.0981,0.0984,0.0968,0.0963,0.0975,1.006
Q13,0.2688,0.2698,0.2667,0.2745,0.2702,0.2703,0.2700,0.2707,0.998
Q14,0.1368,0.1498,0.1486,0.1512,0.1190,0.1185,0.1179,0.1194,1.264
Q15,0.0955,0.0953,0.0950,0.0957,0.1000,0.0981,0.0949,0.1001,0.971
Q16,0.0969,0.0760,0.0747,0.0773,0.0589,0.0584,0.0565,0.0598,1.302
Q17,0.1322,0.1310,0.1305,0.1313,0.1392,0.1383,0.1379,0.1390,0.947
Q18,0.2692,0.2749,0.2726,0.2771,0.2688,0.2693,0.2681,0.2715,1.021
Q19,0.1644,0.1624,0.1584,0.1653,0.1633,0.1561,0.1555,0.1568,1.040
Q20,0.1330,0.1302,0.1291,0.1320,0.1336,0.1329,0.1327,0.1330,0.980
Q21,0.5064,0.5103,0.5076,0.5126,0.4902,0.4835,0.4793,0.4886,1.055
Q22,0.0641,0.0628,0.0616,0.0636,0.0662,0.0655,0.0648,0.0661,0.959

  两端都有 22 条: official avg 总耗时 3.75s, bitmap avg 总耗时 3.64s
  整体加速比 (官方/bitmap): 1.030x
