query,official_warmup_s,official_avg_s,official_min_s,official_max_s,bitmap_warmup_s,bitmap_avg_s,bitmap_min_s,bitmap_max_s,speedup_official_over_bitmap
Q01,0.2030,0.1808,0.1796,0.1815,0.2133,0.1888,0.1880,0.1899,0.958
Q02,0.0909,0.0697,0.0619,0.0763,0.0840,0.0696,0.0672,0.0722,1.002
Q03,0.1922,0.1804,0.1716,0.1856,0.1581,0.1565,0.1559,0.1570,1.153
Q04,0.1229,0.1289,0.1247,0.1335,0.1329,0.1301,0.1235,0.1374,0.991
Q05,0.1557,0.1557,0.1522,0.1614,0.2636,0.2698,0.2644,0.2728,0.577
Q06,0.0660,0.0655,0.0653,0.0657,0.0681,0.0666,0.0664,0.0668,0.983
Q07,0.1826,0.1835,0.1784,0.1882,0.2060,0.2119,0.2101,0.2152,0.866
Q08,0.2003,0.1985,0.1948,0.2033,0.1773,0.1753,0.1743,0.1764,1.133
Q09,0.3738,0.3511,0.3418,0.3581,0.3019,0.2990,0.2964,0.3014,1.175
Q10,0.2475,0.2402,0.2298,0.2455,0.2565,0.2473,0.2456,0.2482,0.972
Q11,0.0347,0.0325,0.0323,0.0327,0.0353,0.0339,0.0338,0.0341,0.956
Q12,0.0991,0.0974,0.0967,0.0981,0.0990,0.0986,0.0981,0.0993,0.988
Q13,0.2688,0.2698,0.2667,0.2745,0.2752,0.2742,0.2711,0.2770,0.984
Q14,0.1368,0.1498,0.1486,0.1512,0.1200,0.1182,0.1175,0.1185,1.268
Q15,0.0955,0.0953,0.0950,0.0957,0.1005,0.1000,0.0997,0.1007,0.953
Q16,0.0969,0.0760,0.0747,0.0773,0.0582,0.0586,0.0582,0.0590,1.296
Q17,0.1322,0.1310,0.1305,0.1313,0.1371,0.1365,0.1357,0.1371,0.959
Q18,0.2692,0.2749,0.2726,0.2771,0.2686,0.2700,0.2691,0.2705,1.018
Q19,0.1644,0.1624,0.1584,0.1653,0.1618,0.1605,0.1588,0.1626,1.012
Q20,0.1330,0.1302,0.1291,0.1320,0.1357,0.1359,0.1354,0.1366,0.958
Q21,0.5064,0.5103,0.5076,0.5126,0.4947,0.4967,0.4959,0.4975,1.027
Q22,0.0641,0.0628,0.0616,0.0636,0.0688,0.0668,0.0666,0.0670,0.940
