query,official_warmup_s,official_avg_s,official_min_s,official_max_s,bitmap_warmup_s,bitmap_avg_s,bitmap_min_s,bitmap_max_s,speedup_official_over_bitmap
Q01,0.5894,0.5873,0.5854,0.5904,0.6247,0.6206,0.6181,0.6218,0.946
Q02,0.1808,0.1818,0.1804,0.1830,0.2073,0.2048,0.2041,0.2055,0.888
Q03,0.5020,0.5066,0.5017,0.5147,0.5233,0.5280,0.5264,0.5300,0.960
Q04,0.3543,0.3563,0.3527,0.3599,0.3580,0.3517,0.3489,0.3535,1.013
Q05,0.5159,0.5270,0.5207,0.5388,0.6215,0.6172,0.6128,0.6219,0.854
Q06,0.2469,0.2437,0.2436,0.2440,0.2439,0.2495,0.2460,0.2517,0.977
Q07,0.5682,0.5689,0.5656,0.5720,0.6167,0.6179,0.6151,0.6198,0.921
Q08,0.6755,0.6812,0.6694,0.6983,0.6488,0.6660,0.6587,0.6727,1.023
Q09,1.1902,1.2010,1.1944,1.2046,1.1000,1.0913,1.0891,1.0933,1.101
Q10,0.6506,0.6495,0.6454,0.6521,0.7117,0.7079,0.7056,0.7099,0.918
Q11,0.1547,0.1526,0.1505,0.1537,0.1592,0.1560,0.1536,0.1573,0.979
Q12,0.3301,0.3323,0.3312,0.3333,0.3253,0.3269,0.3265,0.3276,1.017
Q13,0.9141,0.9371,0.9142,0.9800,0.9275,0.9386,0.9312,0.9468,0.998
Q14,0.4126,0.4123,0.4107,0.4147,0.3801,0.3795,0.3771,0.3821,1.086
Q15,0.3410,0.3424,0.3420,0.3430,0.3561,0.3540,0.3514,0.3576,0.967
Q16,0.2647,0.2693,0.2638,0.2732,0.2279,0.2180,0.2144,0.2209,1.235
Q17,0.4352,0.4391,0.4378,0.4401,0.4575,0.4598,0.4593,0.4607,0.955
Q18,0.8955,0.9018,0.8913,0.9163,0.9609,0.9573,0.9452,0.9761,0.942
Q19,0.5077,0.5084,0.5074,0.5094,0.5302,0.5232,0.5204,0.5277,0.972
Q20,0.4231,0.4237,0.4182,0.4274,0.4330,0.4353,0.4346,0.4364,0.973
Q21,1.4949,1.4880,1.4756,1.4944,1.4393,1.4460,1.4370,1.4559,1.029
Q22,0.1881,0.1827,0.1819,0.1833,0.1923,0.1851,0.1846,0.1859,0.987
