query,official_warmup_s,official_avg_s,official_min_s,official_max_s,bitmap_warmup_s,bitmap_avg_s,bitmap_min_s,bitmap_max_s,speedup_official_over_bitmap
Q01,0.5928,0.5852,0.5832,0.5883,0.6252,0.6361,0.6266,0.6489,0.920
Q02,0.1760,0.1768,0.1733,0.1812,0.2102,0.2047,0.2035,0.2069,0.864
Q03,0.4861,0.4904,0.4841,0.5002,0.5827,0.5811,0.5801,0.5824,0.844
Q04,0.3514,0.3425,0.3383,0.3480,0.3538,0.3530,0.3517,0.3546,0.970
Q05,0.5125,0.5211,0.5107,0.5402,0.6097,0.6013,0.6011,0.6015,0.867
Q06,0.2423,0.2425,0.2423,0.2427,0.2475,0.2480,0.2473,0.2494,0.978
Q07,0.5629,0.5681,0.5644,0.5734,0.6169,0.6151,0.6121,0.6194,0.924
Q08,0.6622,0.6813,0.6331,0.7350,0.7306,0.7391,0.7359,0.7433,0.922
Q09,1.1794,1.1848,1.1813,1.1881,1.0788,1.0807,1.0787,1.0830,1.096
Q10,0.6454,0.6494,0.6452,0.6538,0.7062,0.7070,0.6961,0.7222,0.919
Q11,0.1560,0.1533,0.1504,0.1559,0.1513,0.1512,0.1500,0.1526,1.014
Q12,0.3316,0.3327,0.3300,0.3371,0.3272,0.3254,0.3243,0.3276,1.022
Q13,0.9072,0.9087,0.8950,0.9181,0.9125,0.9208,0.9070,0.9281,0.987
Q14,0.4076,0.4097,0.4090,0.4103,0.3800,0.3751,0.3740,0.3761,1.092
Q15,0.3464,0.3414,0.3391,0.3438,0.3516,0.3533,0.3515,0.3555,0.967
Q16,0.2728,0.2660,0.2588,0.2743,0.2734,0.2639,0.2575,0.2691,1.008
Q17,0.4350,0.4325,0.4306,0.4337,0.4579,0.4611,0.4594,0.4628,0.938
Q18,0.9135,0.8916,0.8908,0.8934,0.9443,0.9593,0.9548,0.9625,0.929
Q19,0.5070,0.5042,0.5014,0.5077,0.5233,0.5229,0.5178,0.5268,0.964
Q20,0.4215,0.4208,0.4197,0.4224,0.4352,0.4411,0.4394,0.4435,0.954
Q21,1.4806,1.4881,1.4817,1.4939,1.4337,1.4287,1.4273,1.4300,1.042
Q22,0.1831,0.1833,0.1804,0.1850,0.1852,0.1860,0.1837,0.1882,0.985
